"key","RU","EN"
"RU","Русский","Russian"
"EN","Английский","English"
"some_person","Какой-то человек","Some person"
"some_cool_email","какая-та.крутая@почта.кз","some.cool@email.com"
"some_cool_bio","Какая-то крутая биография","Some cool bio"
"main","Главная","Main"
"projects","Проекты","Projects"
"blog","Блог","Blog"
"articles","Статьи","Articles"
"favourites","Избранное","Favourites"
"need_to_wait_little_bit","Нужно немного подождать","Need to wait little bit"
"social_network","Социальная сеть","Social network"
